@relation training_keyboard.arff-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-Llast

@attribute Pacman_posx numeric
@attribute Pacman_posy numeric
@attribute Number_ghosts numeric
@attribute Ghost1_Distance numeric
@attribute Ghost2_Distance numeric
@attribute Ghost3_Distance numeric
@attribute Ghost4_Distance numeric
@attribute Ghost1_Posx numeric
@attribute Ghost1_Posy numeric
@attribute Ghost2_Posx numeric
@attribute Ghost2_Posy numeric
@attribute Ghost3_Posx numeric
@attribute Ghost3_Posy numeric
@attribute Ghost4_Posx numeric
@attribute Ghost4_Posy numeric
@attribute Living_Ghost1 {True,False}
@attribute Living_Ghost2 {True,False}
@attribute Living_Ghost3 {True,False}
@attribute Living_Ghost4 {True,False}
@attribute Ghost1_Direction {North,South,East,West,Stop,None}
@attribute Ghost2_Direction {North,South,East,West,Stop,None}
@attribute Ghost3_Direction {North,South,East,West,Stop,None}
@attribute Ghost4_Direction {North,South,East,West,Stop,None}
@attribute pacDots numeric
@attribute Dist_nearest_pacDots numeric
@attribute Pacman_direction {North,South,East,West,Stop}
@attribute Score numeric
@attribute East_Legal {True,False}
@attribute West_Legal {True,False}
@attribute North_Legal {True,False}
@attribute South_Legal {True,False}
@attribute FutureScore numeric

@data
12,5,4,5,11,10000,10000,7,5,4,8,5,1,7,1,True,True,False,False,East,North,Stop,Stop,1,3,West,472,True,True,False,False,471
11,5,4,5,11,10000,10000,6,5,3,8,5,1,7,1,True,True,False,False,West,West,Stop,Stop,1,2,West,471,True,True,False,True,470
10,5,4,5,11,10000,10000,5,5,3,9,5,1,7,1,True,True,False,False,West,North,Stop,Stop,1,1,North,470,True,True,True,True,569
10,6,4,7,11,10000,10000,4,5,2,9,5,1,7,1,True,True,False,False,West,West,Stop,Stop,0,-1,West,569,False,True,True,True,568
9,6,4,6,11,10000,10000,4,5,1,9,5,1,7,1,True,True,False,False,West,West,Stop,Stop,0,-1,West,568,True,True,True,True,567
8,6,4,4,9,10000,10000,5,5,1,8,5,1,7,1,True,True,False,False,East,South,Stop,Stop,0,-1,South,567,True,False,True,True,566
8,5,4,2,9,10000,10000,6,5,1,7,5,1,7,1,True,True,False,False,East,South,Stop,Stop,0,-1,South,566,True,True,True,True,565
8,4,4,2,9,10000,10000,7,5,1,6,5,1,7,1,True,True,False,False,East,South,Stop,Stop,0,-1,West,565,True,True,True,True,564
7,4,4,1,9,10000,10000,7,5,1,7,5,1,7,1,True,True,False,False,East,North,Stop,Stop,0,-1,North,564,True,True,True,True,763
7,5,4,10000,7,10000,10000,1,1,1,6,5,1,7,1,False,True,False,False,Stop,South,Stop,Stop,0,-1,East,762,True,True,False,True,761
8,5,4,10000,7,10000,10000,1,1,1,5,5,1,7,1,False,True,False,False,Stop,South,Stop,Stop,0,-1,North,761,True,True,True,True,760
8,6,4,10000,7,10000,10000,1,1,2,5,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,North,760,True,False,True,True,759
8,7,4,10000,7,10000,10000,1,1,3,5,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,West,759,True,True,True,True,758
7,7,4,10000,6,10000,10000,1,1,3,5,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,West,758,True,True,True,False,757
6,7,4,10000,4,10000,10000,1,1,4,5,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,West,757,True,True,True,False,756
5,7,4,10000,4,10000,10000,1,1,4,4,5,1,7,1,False,True,False,False,Stop,South,Stop,Stop,0,-1,West,756,True,True,True,False,755
4,7,4,10000,4,10000,10000,1,1,5,4,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,West,755,True,True,True,False,754
3,7,4,10000,6,10000,10000,1,1,6,4,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,West,754,True,True,True,False,753
2,7,4,10000,8,10000,10000,1,1,7,4,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,West,753,True,True,True,False,752
1,7,4,10000,10,10000,10000,1,1,8,4,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,South,752,True,False,True,True,751
1,6,4,10000,8,10000,10000,1,1,7,4,5,1,7,1,False,True,False,False,Stop,West,Stop,Stop,0,-1,South,751,False,False,True,True,750
1,5,4,10000,8,10000,10000,1,1,7,3,5,1,7,1,False,True,False,False,Stop,South,Stop,Stop,0,-1,South,750,True,False,True,True,749
1,4,4,10000,7,10000,10000,1,1,7,3,5,1,7,1,False,True,False,False,Stop,South,Stop,Stop,0,-1,East,749,True,False,True,True,748
2,4,4,10000,7,10000,10000,1,1,8,3,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,East,748,True,True,True,True,747
3,4,4,10000,6,10000,10000,1,1,8,3,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,East,747,True,True,True,True,746
4,4,4,10000,4,10000,10000,1,1,7,3,5,1,7,1,False,True,False,False,Stop,West,Stop,Stop,0,-1,East,746,True,True,True,True,745
5,4,4,10000,2,10000,10000,1,1,6,3,5,1,7,1,False,True,False,False,Stop,West,Stop,Stop,0,-1,East,745,True,True,True,True,744
1,11,4,11,7,7,18,6,5,6,9,8,11,14,6,True,True,True,True,Stop,Stop,Stop,Stop,2,14,South,-1,True,False,False,True,-2
1,10,4,10,6,8,17,6,5,6,9,8,11,14,6,True,True,True,True,Stop,Stop,Stop,Stop,2,13,South,-2,False,False,True,True,-3
1,9,4,9,5,9,16,6,5,6,9,8,11,14,6,True,True,True,True,Stop,Stop,Stop,Stop,2,12,East,-3,True,False,True,True,-4
2,9,4,8,4,8,15,6,5,6,9,8,11,14,6,True,True,True,True,Stop,Stop,Stop,Stop,2,11,East,-4,True,True,False,True,-5
3,9,4,7,3,7,14,6,5,6,9,8,11,14,6,True,True,True,True,Stop,Stop,Stop,Stop,2,10,East,-5,True,True,False,True,-6
4,9,4,6,2,6,13,6,5,6,9,8,11,14,6,True,True,True,True,Stop,Stop,Stop,Stop,2,9,East,-6,True,True,False,True,-7
5,9,4,5,1,5,12,6,5,6,9,8,11,14,6,True,True,True,True,Stop,Stop,Stop,Stop,2,8,East,-7,True,True,True,True,192
6,9,4,4,10000,4,11,6,5,3,1,8,11,14,6,True,False,True,True,Stop,Stop,Stop,Stop,2,7,North,192,True,True,True,True,191
6,10,4,5,10000,3,12,6,5,3,1,8,11,14,6,True,False,True,True,Stop,Stop,Stop,Stop,2,8,North,191,False,True,True,True,190
6,11,4,6,10000,2,13,6,5,3,1,8,11,14,6,True,False,True,True,Stop,Stop,Stop,Stop,2,9,East,190,True,True,False,True,189
7,11,4,7,10000,1,12,6,5,3,1,8,11,14,6,True,False,True,True,Stop,Stop,Stop,Stop,2,8,East,189,True,True,False,False,388
8,11,4,8,10000,10000,11,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,2,7,East,388,True,True,False,False,387
9,11,4,9,10000,10000,10,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,2,6,East,387,True,True,False,False,386
10,11,4,10,10000,10000,9,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,2,5,East,386,True,True,False,True,385
11,11,4,11,10000,10000,8,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,2,4,East,385,True,True,False,True,384
12,11,4,12,10000,10000,7,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,2,3,East,384,True,True,False,False,383
13,11,4,13,10000,10000,6,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,2,2,East,383,True,True,False,False,382
14,11,4,14,10000,10000,5,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,2,1,South,382,True,True,False,True,481
14,10,4,13,10000,10000,4,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,1,8,South,481,False,False,True,True,480
14,9,4,12,10000,10000,3,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,1,7,South,480,True,True,True,True,479
14,8,4,11,10000,10000,2,6,5,3,1,5,1,14,6,True,False,False,True,Stop,Stop,Stop,Stop,1,6,South,479,True,True,True,True,478
