@relation training_keyboard.arff-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-Llast

@attribute Pacman_posx numeric
@attribute Pacman_posy numeric
@attribute Number_ghosts numeric
@attribute Ghost1_Distance numeric
@attribute Ghost2_Distance numeric
@attribute Ghost3_Distance numeric
@attribute Ghost4_Distance numeric
@attribute Ghost1_Posx numeric
@attribute Ghost1_Posy numeric
@attribute Ghost2_Posx numeric
@attribute Ghost2_Posy numeric
@attribute Ghost3_Posx numeric
@attribute Ghost3_Posy numeric
@attribute Ghost4_Posx numeric
@attribute Ghost4_Posy numeric
@attribute Living_Ghost1 {True,False}
@attribute Living_Ghost2 {True,False}
@attribute Living_Ghost3 {True,False}
@attribute Living_Ghost4 {True,False}
@attribute Ghost1_Direction {North,South,East,West,Stop,None}
@attribute Ghost2_Direction {North,South,East,West,Stop,None}
@attribute Ghost3_Direction {North,South,East,West,Stop,None}
@attribute Ghost4_Direction {North,South,East,West,Stop,None}
@attribute pacDots numeric
@attribute Dist_nearest_pacDots numeric
@attribute Pacman_direction {North,South,East,West,Stop}
@attribute Score numeric
@attribute East_Legal {True,False}
@attribute West_Legal {True,False}
@attribute North_Legal {True,False}
@attribute South_Legal {True,False}
@attribute FutureScore numeric

@data
10,7,4,6,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,South,766,False,True,True,True,765
10,6,4,5,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,South,765,False,True,True,True,764
10,5,4,4,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,West,764,True,True,True,True,763
9,5,4,3,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,West,763,True,True,True,True,762
8,5,4,2,10000,10000,10000,6,5,3,1,5,1,7,1,True,False,False,False,Stop,Stop,Stop,Stop,0,-1,West,762,True,True,True,True,761
1,18,4,14,25,29,34,6,9,11,3,17,5,25,7,True,True,True,True,East,Stop,South,North,0,-1,East,-1,True,False,False,True,-2
2,18,4,12,23,27,32,5,9,10,3,17,6,25,8,True,True,True,True,West,West,North,North,0,-1,East,-2,True,True,False,False,-3
3,18,4,10,23,27,31,4,9,11,3,17,5,25,9,True,True,True,True,West,East,South,North,0,-1,East,-3,True,True,False,False,-4
4,18,4,10,21,25,31,4,8,11,4,17,6,25,9,True,True,True,True,South,North,North,East,0,-1,East,-4,True,True,False,False,-5
5,18,4,12,21,24,29,4,7,11,3,17,6,26,9,True,True,True,True,South,South,North,West,0,-1,East,-5,True,True,False,False,-6
6,18,4,12,20,24,29,5,7,11,3,17,5,25,9,True,True,True,True,East,South,South,South,0,-1,East,-6,True,True,False,False,-7
7,18,4,14,18,24,29,4,7,10,3,18,5,25,8,True,True,True,True,West,West,East,South,0,-1,East,-7,True,True,False,False,-8
8,18,4,14,16,23,29,5,7,10,4,18,5,25,7,True,True,True,True,East,North,East,East,0,-1,East,-8,True,True,False,False,-9
9,18,4,14,16,23,27,6,7,11,4,19,5,26,7,True,True,True,True,East,East,East,North,0,-1,East,-9,True,True,False,False,-10
10,18,4,16,15,23,25,5,7,11,4,19,4,26,8,True,True,True,True,West,East,South,West,0,-1,East,-10,True,True,False,False,-11
11,18,4,18,14,23,23,5,6,11,4,20,4,25,8,True,True,True,True,South,East,East,North,0,-1,East,-11,True,True,False,False,-12
12,18,4,18,14,23,23,6,6,11,5,21,4,25,9,True,True,True,True,East,North,East,South,0,-1,East,-12,True,True,False,False,-13
13,18,4,18,16,22,21,7,6,11,4,21,4,25,8,True,True,True,True,East,South,East,North,0,-1,East,-13,True,True,False,False,-14
14,18,4,18,17,21,20,8,6,11,4,21,4,25,9,True,True,True,True,East,South,East,North,0,-1,South,-14,True,True,False,True,-15
14,17,4,17,15,21,20,8,6,11,5,22,4,25,9,True,True,True,True,East,North,East,South,0,-1,South,-15,True,False,True,True,-16
14,16,4,17,15,20,20,7,6,11,4,22,4,25,8,True,True,True,True,West,South,East,South,0,-1,South,-16,True,True,True,True,-17
14,15,4,16,13,18,20,7,6,11,5,21,4,25,7,True,True,True,True,West,North,West,South,0,-1,South,-17,True,True,True,True,-18
14,14,4,15,13,16,20,7,6,11,4,20,4,25,6,True,True,True,True,West,South,West,South,0,-1,South,-18,True,True,True,True,-19
14,13,4,14,12,14,18,7,6,11,4,20,5,25,5,True,True,True,True,West,South,North,West,0,-1,South,-19,False,False,True,True,-20
14,12,4,12,12,12,17,8,6,11,3,20,6,24,5,True,True,True,True,East,South,North,West,0,-1,South,-20,True,True,True,True,-21
14,11,4,12,10,12,17,7,6,11,4,20,5,24,5,True,True,True,True,West,North,South,East,0,-1,South,-21,True,True,True,True,-22
14,10,4,12,8,11,15,6,6,11,5,20,5,25,5,True,True,True,True,West,North,South,North,0,-1,South,-22,True,True,True,True,-23
14,9,4,10,8,11,14,6,7,10,5,20,4,25,6,True,True,True,True,North,West,South,North,0,-1,South,-23,False,True,True,True,-24
14,8,4,10,8,9,12,6,6,10,4,20,5,25,6,True,True,True,True,South,South,North,West,0,-1,South,-24,True,True,True,True,-25
14,7,4,8,8,8,10,7,6,10,3,20,5,24,6,True,True,True,True,East,South,North,West,0,-1,South,-25,False,True,True,True,-26
14,6,4,7,6,8,10,7,6,10,4,20,4,23,6,True,True,True,True,East,North,South,East,0,-1,East,-26,True,True,True,True,-27
15,6,4,7,6,6,10,8,6,11,4,19,4,24,6,True,True,True,True,East,East,West,East,0,-1,East,-27,True,True,False,False,-28
16,6,4,9,8,5,10,8,5,11,3,19,4,25,6,True,True,True,True,South,South,West,East,0,-1,East,-28,True,True,False,False,-29
17,6,4,11,10,5,8,8,4,10,3,20,4,26,6,True,True,True,True,South,West,East,West,0,-1,East,-29,True,True,False,True,-30
18,6,4,11,11,3,8,9,4,10,3,19,4,25,6,True,True,True,True,East,West,West,East,0,-1,South,-30,True,True,False,True,-31
18,5,4,10,10,2,8,9,4,10,3,19,4,26,6,True,True,True,True,East,West,West,West,0,-1,South,-31,True,True,True,True,-32
18,4,4,10,9,2,10,9,5,10,3,20,4,25,6,True,True,True,True,North,West,East,East,0,-1,East,-32,True,True,True,True,167
19,4,4,11,9,10000,9,9,5,10,4,5,1,26,6,True,True,False,True,North,North,Stop,East,0,-1,East,167,True,True,True,True,166
20,4,4,12,11,10000,7,9,5,10,5,5,1,26,6,True,True,False,True,North,North,Stop,West,0,-1,East,166,True,True,True,True,165
21,4,4,13,13,10000,5,9,5,9,5,5,1,25,6,True,True,False,True,North,West,Stop,West,0,-1,East,165,True,True,False,True,164
22,4,4,14,14,10000,5,9,5,9,5,5,1,24,6,True,True,False,True,North,West,Stop,East,0,-1,East,164,True,True,False,True,163
23,4,4,14,14,10000,3,10,5,9,4,5,1,25,6,True,True,False,True,East,South,Stop,West,0,-1,East,163,True,True,True,True,162
24,4,4,16,16,10000,3,10,6,9,5,5,1,24,6,True,True,False,True,North,North,Stop,North,0,-1,North,162,True,True,True,True,161
24,5,4,14,16,10000,3,10,5,8,5,5,1,24,7,True,True,False,True,South,West,Stop,North,0,-1,North,161,True,True,True,True,160
24,6,4,14,17,10000,3,11,5,8,5,5,1,24,8,True,True,False,True,East,West,Stop,East,0,-1,North,160,True,True,True,True,159
24,7,4,14,17,10000,2,11,6,9,5,5,1,25,8,True,True,False,True,North,East,Stop,East,0,-1,East,159,True,True,True,True,158
25,7,4,14,17,10000,2,11,7,9,6,5,1,25,8,True,True,False,True,North,North,Stop,East,0,-1,East,158,True,True,True,True,157
26,7,4,16,17,10000,1,10,7,9,7,5,1,26,8,True,True,False,True,West,North,Stop,East,0,-1,North,157,True,True,True,True,356
26,8,4,18,18,10000,10000,9,7,9,7,5,1,7,1,True,True,False,False,West,North,Stop,Stop,0,-1,West,356,True,True,True,True,355
25,8,4,17,18,10000,10000,9,7,8,7,5,1,7,1,True,True,False,False,West,West,Stop,Stop,0,-1,West,355,True,True,True,True,354
24,8,4,16,16,10000,10000,9,7,9,7,5,1,7,1,True,True,False,False,West,East,Stop,Stop,0,-1,West,354,True,True,True,True,353
23,8,4,15,14,10000,10000,9,7,9,8,5,1,7,1,True,True,False,False,West,North,Stop,Stop,0,-1,West,353,True,True,True,True,352
22,8,4,14,14,10000,10000,9,7,9,9,5,1,7,1,True,True,False,False,West,North,Stop,Stop,0,-1,West,352,True,True,False,False,351
21,8,4,14,12,10000,10000,9,6,9,8,5,1,7,1,True,True,False,False,South,South,Stop,Stop,0,-1,West,351,True,True,False,False,350
20,8,4,12,12,10000,10000,10,6,9,7,5,1,7,1,True,True,False,False,East,South,Stop,Stop,0,-1,West,350,True,True,False,False,349
19,8,4,10,12,10000,10000,10,7,8,7,5,1,7,1,True,True,False,False,North,West,Stop,Stop,0,-1,West,349,True,True,False,False,348
18,8,4,10,10,10000,10000,9,7,8,8,5,1,7,1,True,True,False,False,West,North,Stop,Stop,0,-1,West,348,True,True,False,False,347
17,8,4,10,10,10000,10000,9,6,8,7,5,1,7,1,True,True,False,False,South,South,Stop,Stop,0,-1,West,347,True,True,False,False,346
16,8,4,10,9,10000,10000,9,5,8,7,5,1,7,1,True,True,False,False,South,South,Stop,Stop,0,-1,West,346,True,True,False,False,345
15,8,4,9,7,10000,10000,9,5,9,7,5,1,7,1,True,True,False,False,South,East,Stop,Stop,0,-1,West,345,True,True,False,False,344
14,8,4,7,5,10000,10000,9,6,9,8,5,1,7,1,True,True,False,False,North,North,Stop,Stop,0,-1,North,344,True,True,True,True,343
14,9,4,7,5,10000,10000,10,6,9,9,5,1,7,1,True,True,False,False,East,North,Stop,Stop,0,-1,North,343,False,True,True,True,342
14,10,4,9,7,10000,10000,9,6,9,8,5,1,7,1,True,True,False,False,West,South,Stop,Stop,0,-1,North,342,True,True,True,True,341
14,11,4,11,8,10000,10000,8,6,9,8,5,1,7,1,True,True,False,False,West,South,Stop,Stop,0,-1,North,341,True,True,True,True,340
14,12,4,13,9,10000,10000,8,5,9,8,5,1,7,1,True,True,False,False,South,South,Stop,Stop,0,-1,West,340,True,True,True,True,339
13,12,4,11,7,10000,10000,8,6,9,9,5,1,7,1,True,True,False,False,North,North,Stop,Stop,0,-1,West,339,True,True,False,True,338
12,12,4,9,6,10000,10000,9,6,9,9,5,1,7,1,True,True,False,False,East,North,Stop,Stop,0,-1,West,338,True,True,False,False,337
11,12,4,9,5,10000,10000,9,5,9,9,5,1,7,1,True,True,False,False,South,North,Stop,Stop,0,-1,West,337,True,True,False,True,336
10,12,4,7,5,10000,10000,10,5,9,8,5,1,7,1,True,True,False,False,East,South,Stop,Stop,0,-1,West,336,True,True,True,True,335
9,12,4,9,5,10000,10000,11,5,10,8,5,1,7,1,True,True,False,False,East,East,Stop,Stop,0,-1,South,335,True,True,True,True,334
9,11,4,7,4,10000,10000,11,6,10,8,5,1,7,1,True,True,False,False,North,East,Stop,Stop,0,-1,South,334,True,True,True,True,333
9,10,4,5,4,10000,10000,11,7,10,7,5,1,7,1,True,True,False,False,North,South,Stop,Stop,0,-1,South,333,True,True,True,True,332
9,9,4,5,4,10000,10000,11,6,11,7,5,1,7,1,True,True,False,False,South,East,Stop,Stop,0,-1,East,332,True,True,True,True,331
10,9,4,3,2,10000,10000,10,6,10,7,5,1,7,1,True,True,False,False,West,West,Stop,Stop,0,-1,East,331,True,True,True,True,330
11,9,4,5,2,10000,10000,10,5,10,8,5,1,7,1,True,True,False,False,South,North,Stop,Stop,0,-1,South,330,False,True,True,True,329
11,8,4,4,2,10000,10000,10,5,9,8,5,1,7,1,True,True,False,False,South,West,Stop,Stop,0,-1,South,329,False,True,True,True,328
11,7,4,4,4,10000,10000,10,4,9,9,5,1,7,1,True,True,False,False,South,North,Stop,Stop,0,-1,West,328,False,True,True,True,327
10,7,4,4,4,10000,10000,10,3,9,10,5,1,7,1,True,True,False,False,South,North,Stop,Stop,0,-1,West,327,True,True,True,True,326
9,7,4,4,2,10000,10000,10,4,9,9,5,1,7,1,True,True,False,False,North,South,Stop,Stop,0,-1,West,326,True,True,True,True,325
8,7,4,4,4,10000,10000,9,4,9,10,5,1,7,1,True,True,False,False,West,North,Stop,Stop,0,-1,South,325,True,False,True,True,324
8,6,4,2,5,10000,10000,9,5,9,10,5,1,7,1,True,True,False,False,North,North,Stop,Stop,0,-1,South,324,True,True,True,True,323
8,5,4,2,6,10000,10000,9,6,9,10,5,1,7,1,True,True,False,False,North,North,Stop,Stop,0,-1,East,323,True,False,True,True,322
9,5,4,1,6,10000,10000,9,6,9,11,5,1,7,1,True,True,False,False,North,North,Stop,Stop,0,-1,East,322,True,True,True,True,321
10,5,4,2,8,10000,10000,9,6,8,11,5,1,7,1,True,True,False,False,North,West,Stop,Stop,0,-1,North,321,True,True,True,True,520
10,6,4,10000,8,10000,10000,1,1,8,12,5,1,7,1,False,True,False,False,Stop,North,Stop,Stop,0,-1,West,520,True,True,True,True,519
9,6,4,10000,8,10000,10000,1,1,8,13,5,1,7,1,False,True,False,False,Stop,North,Stop,Stop,0,-1,West,519,True,True,True,True,518
8,6,4,10000,6,10000,10000,1,1,8,12,5,1,7,1,False,True,False,False,Stop,South,Stop,Stop,0,-1,North,518,True,True,True,True,517
8,7,4,10000,6,10000,10000,1,1,7,12,5,1,7,1,False,True,False,False,Stop,West,Stop,Stop,0,-1,North,517,True,False,True,True,516
8,8,4,10000,6,10000,10000,1,1,6,12,5,1,7,1,False,True,False,False,Stop,West,Stop,Stop,0,-1,North,516,True,False,True,True,515
8,9,4,10000,4,10000,10000,1,1,7,12,5,1,7,1,False,True,False,False,Stop,East,Stop,Stop,0,-1,North,515,True,False,True,True,514
1,18,4,13,25,28,35,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-1,True,False,False,True,-2
2,18,4,12,24,27,34,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-2,True,True,False,False,-3
3,18,4,11,23,26,33,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-3,True,True,False,False,-4
4,18,4,10,22,25,32,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-4,True,True,False,False,-5
5,18,4,9,21,24,31,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-5,True,True,False,False,-6
6,18,4,10,20,23,30,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-6,True,True,False,False,-7
7,18,4,11,19,22,29,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-7,True,True,False,False,-8
8,18,4,12,18,21,28,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-8,True,True,False,False,-9
9,18,4,13,17,20,27,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-9,True,True,False,False,-10
10,18,4,14,16,19,26,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-10,True,True,False,False,-11
11,18,4,15,15,18,25,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-11,True,True,False,False,-12
12,18,4,16,16,17,24,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-12,True,True,False,False,-13
13,18,4,17,17,16,23,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-13,True,True,False,False,-14
14,18,4,18,18,15,22,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-14,True,True,False,True,-15
14,17,4,17,17,14,21,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-15,True,False,True,True,-16
14,16,4,16,16,13,20,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-16,True,True,True,True,-17
14,15,4,15,15,12,19,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-17,True,True,True,True,-18
14,14,4,14,14,11,18,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-18,True,True,True,True,-19
14,13,4,13,13,10,17,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-19,False,False,True,True,-20
14,12,4,12,12,9,16,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-20,True,True,True,True,-21
14,11,4,11,11,8,15,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-21,True,True,True,True,-22
14,10,4,10,10,7,14,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-22,True,True,True,True,-23
14,9,4,9,9,6,13,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-23,False,True,True,True,-24
14,8,4,10,8,5,12,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-24,True,True,True,True,-25
14,7,4,11,7,4,11,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,South,-25,False,True,True,True,-26
14,6,4,12,6,3,12,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-26,True,True,True,True,-27
15,6,4,13,7,2,11,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-27,True,True,False,False,-28
16,6,4,14,8,1,10,5,9,11,3,17,6,25,7,True,True,True,True,Stop,Stop,Stop,Stop,0,-1,East,-28,True,True,False,False,171
17,6,4,15,9,10000,9,5,9,11,3,5,1,25,7,True,True,False,True,Stop,Stop,Stop,Stop,0,-1,East,171,True,True,False,True,170
18,6,4,16,10,10000,8,5,9,11,3,5,1,25,7,True,True,False,True,Stop,Stop,Stop,Stop,0,-1,East,170,True,True,False,True,169
19,6,4,17,11,10000,7,5,9,11,3,5,1,25,7,True,True,False,True,Stop,Stop,Stop,Stop,0,-1,East,169,True,True,False,True,168
20,6,4,18,12,10000,6,5,9,11,3,5,1,25,7,True,True,False,True,Stop,Stop,Stop,Stop,0,-1,East,168,True,True,False,True,167
21,6,4,19,13,10000,5,5,9,11,3,5,1,25,7,True,True,False,True,Stop,Stop,Stop,Stop,0,-1,East,167,True,True,False,False,166
22,6,4,20,14,10000,4,5,9,11,3,5,1,25,7,True,True,False,True,Stop,Stop,Stop,Stop,0,-1,East,166,True,True,False,False,165
23,6,4,21,15,10000,3,5,9,11,3,5,1,25,7,True,True,False,True,Stop,Stop,Stop,Stop,0,-1,East,165,True,True,True,True,164
24,6,4,22,16,10000,2,5,9,11,3,5,1,25,7,True,True,False,True,Stop,Stop,Stop,Stop,0,-1,East,164,True,True,True,True,163
25,6,4,23,17,10000,1,5,9,11,3,5,1,25,7,True,True,False,True,Stop,Stop,Stop,Stop,0,-1,North,163,True,True,True,True,362
25,7,4,22,18,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,North,362,True,True,True,True,361
25,8,4,21,19,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,North,361,True,True,True,True,360
25,9,4,20,20,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,North,360,True,True,True,True,359
25,10,4,21,21,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,359,True,True,True,True,358
24,10,4,20,20,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,358,True,True,True,True,357
23,10,4,19,19,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,357,True,True,True,True,356
22,10,4,18,18,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,356,True,True,True,False,355
21,10,4,17,17,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,355,True,True,False,False,354
20,10,4,16,16,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,354,True,True,True,False,353
19,10,4,15,15,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,North,353,True,True,True,False,352
19,11,4,16,16,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,North,352,True,True,True,True,351
19,12,4,17,17,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,351,True,True,True,True,350
18,12,4,16,16,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,350,True,True,True,True,349
17,12,4,15,15,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,349,True,True,True,True,348
16,12,4,14,14,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,348,True,True,False,True,347
15,12,4,13,13,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,347,True,True,False,True,346
14,12,4,12,12,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,346,True,True,True,True,345
13,12,4,11,11,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,345,True,True,False,True,344
12,12,4,10,10,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,344,True,True,False,False,343
11,12,4,9,9,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,343,True,True,False,True,342
10,12,4,8,10,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,342,True,True,True,True,341
9,12,4,7,11,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,341,True,True,True,True,340
9,11,4,6,10,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,340,True,True,True,True,339
9,10,4,5,9,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,339,True,True,True,True,338
9,9,4,4,8,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,338,True,True,True,True,337
9,8,4,5,7,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,337,True,True,True,True,336
9,7,4,6,6,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,336,True,True,True,True,335
9,6,4,7,5,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,335,True,True,True,True,334
8,6,4,6,6,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,334,True,True,True,True,333
7,6,4,5,7,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,333,True,True,False,False,332
6,6,4,4,8,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,West,332,True,True,True,False,331
5,6,4,3,9,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,North,331,True,True,True,True,330
5,7,4,2,10,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,North,330,True,True,True,True,329
5,8,4,1,11,10000,10000,5,9,11,3,5,1,7,1,True,True,False,False,Stop,Stop,Stop,Stop,0,-1,North,329,True,True,True,True,528
5,9,4,10000,12,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,528,True,True,True,True,527
5,8,4,10000,11,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,527,True,True,True,True,526
5,7,4,10000,10,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,526,True,True,True,True,525
5,6,4,10000,9,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,525,True,True,True,True,524
5,5,4,10000,8,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,524,False,True,True,True,523
5,4,4,10000,7,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,South,523,False,True,True,True,522
5,3,4,10000,6,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,East,522,True,True,True,False,521
6,3,4,10000,5,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,East,521,True,True,False,False,520
7,3,4,10000,4,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,East,520,True,True,False,False,519
8,3,4,10000,3,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,East,519,True,True,True,False,518
9,3,4,10000,2,10000,10000,1,1,11,3,5,1,7,1,False,True,False,False,Stop,Stop,Stop,Stop,0,-1,East,518,True,True,True,False,517
4,12,4,14,12,16,22,9,3,11,7,20,12,22,9,True,True,True,True,Stop,Stop,East,East,121,2,East,-1,True,True,False,True,-2
5,12,4,14,12,16,20,10,3,12,7,20,11,23,9,True,True,True,True,East,East,South,West,121,1,South,-2,True,True,False,True,97
5,11,4,14,10,16,20,11,3,12,8,21,11,22,9,True,True,True,True,East,North,East,East,120,1,East,97,True,True,True,True,196
6,11,4,12,10,16,18,11,4,13,8,21,10,23,9,True,True,True,True,North,East,South,West,119,1,South,196,True,True,True,True,295
6,10,4,12,9,16,16,12,4,13,8,22,10,22,9,True,True,True,True,East,East,East,West,118,1,South,295,True,True,True,True,294
6,9,4,11,9,17,16,12,4,13,7,22,10,21,9,True,True,True,True,East,South,East,North,118,1,East,294,True,True,True,True,393
7,9,4,9,9,17,16,12,5,14,7,23,10,21,10,True,True,True,True,North,East,East,North,117,1,East,393,True,True,True,True,492
8,9,4,7,9,17,16,11,5,15,7,23,11,21,11,True,True,True,True,West,East,North,East,116,1,East,492,True,True,True,True,591
9,9,4,5,7,17,16,11,6,14,7,23,12,22,11,True,True,True,True,North,West,North,East,115,1,South,591,True,True,True,True,590
9,8,4,3,5,18,16,11,7,14,8,23,12,23,11,True,True,True,True,North,North,North,West,115,1,South,590,True,True,True,True,589
9,7,4,3,5,19,16,11,6,13,8,23,12,22,11,True,True,True,True,South,West,North,South,115,1,East,589,True,True,True,True,688
10,7,4,1,5,18,16,11,7,13,9,23,12,22,10,True,True,True,True,North,North,North,North,114,1,East,688,True,True,True,True,887
11,7,4,10000,4,16,14,1,1,13,9,23,11,22,11,False,True,True,True,Stop,North,South,West,114,1,North,887,True,True,True,True,986
11,8,4,10000,3,14,12,1,1,13,9,22,11,21,11,False,True,True,True,Stop,North,West,West,113,1,North,986,True,True,True,True,985
